
[00:00:00.000 --> 00:00:01.960]  一連三堂的系列
[00:42:58.000 --> 00:42:59.000]  幫助我們
[00:42:59.000 --> 00:43:01.000]  將我們的時間
[00:43:01.000 --> 00:43:02.000]  精力
[00:43:02.000 --> 00:43:04.000]  投放在一些永恆價值的事上
[00:43:04.000 --> 00:43:05.000]  幫助我們
[00:43:05.000 --> 00:43:06.000]  無論是
[00:43:06.000 --> 00:43:07.000]  今年過得怎樣
[00:43:07.000 --> 00:43:09.000]  但我們仍然相信
[00:43:09.000 --> 00:43:10.000]  教會
[00:43:10.000 --> 00:43:12.000]  是這個世界唯一的盼望
[00:43:12.000 --> 00:43:15.000]  我們祈禱奉主耶穌基督名求
[00:43:15.000 --> 00:43:16.000]  Amen
